estado_civil;modo_solicitud;orden_solicitud;curso;asistencia_diurna_vespertina;cualificacion_previa;nota_cualificacion_previa;nacionalidad;cualificacion_madre;cualificacion_padre;ocupacion_madre;ocupacion_padre;nota_admision;desplazado;necesidades_educativas_especiales;deudor;matricula_al_dia;genero;becado;edad_al_matricularse;internacional;asignaturas_1sem_convalidadas;asignaturas_1sem_matriculadas;asignaturas_1sem_evaluadas;asignaturas_1sem_aprobadas;nota_media_1sem;asignaturas_1sem_sin_evaluacion;asignaturas_2sem_convalidadas;asignaturas_2sem_matriculadas;asignaturas_2sem_evaluadas;asignaturas_2sem_aprobadas;nota_media_2sem;asignaturas_2sem_sin_evaluacion;tasa_desempleo;tasa_inflacion;pib;objetivo
soltero/a;2a_fase_contingente_general;5;animacion_y_diseno_multimedia;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;otro_11o_ano;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;trabajadores_no_cualificados;127.3;si;no;no;si;hombre;no;20;no;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;abandono
soltero/a;estudiante_internacional_licenciatura;1;turismo;diurna;educacion_secundaria;160.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_superior_grado;tecnicos_y_profesiones_de_nivel_intermedio;tecnicos_y_profesiones_de_nivel_intermedio;142.5;si;no;no;no;hombre;no;19;no;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;graduado
soltero/a;1a_fase_contingente_general;5;diseno_de_comunicacion;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;124.8;si;no;no;no;hombre;no;19;no;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;abandono
soltero/a;2a_fase_contingente_general;2;periodismo_y_comunicacion;diurna;educacion_secundaria;122.0;portuguesa;educacion_basica_2o_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_de_servicios_personales_seguridad_y_vendedoras;tecnicos_y_profesiones_de_nivel_intermedio;119.6;si;no;no;si;mujer;no;20;no;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;graduado
casado/a;mayor_de_23_anos;1;servicio_social_nocturno;vespertina;educacion_secundaria;100.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;141.5;no;no;no;si;mujer;no;45;no;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;graduado
casado/a;mayor_de_23_anos;1;gestion_nocturno;vespertina;educacion_basica_3er_ciclo_o_equivalente;133.1;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_cualificados_de_industria_construccion_y_artesania;114.8;no;no;si;si;hombre;no;50;no;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;graduado
soltero/a;1a_fase_contingente_general;1;enfermeria;diurna;educacion_secundaria;142.0;portuguesa;educacion_basica_3er_ciclo_o_equivalente;educacion_basica_2o_ciclo_o_equivalente;trabajadoras_cualificadas_de_industria_construccion_y_artesania;profesiones_de_las_fuerzas_armadas;128.4;si;no;no;si;mujer;si;18;no;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;graduado
soltero/a;3a_fase_contingente_general;4;turismo;diurna;educacion_secundaria;119.0;portuguesa;educacion_basica_1er_ciclo_o_equivalente;educacion_basica_1er_ciclo_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;113.1;si;no;no;no;hombre;no;22;no;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;abandono
soltero/a;1a_fase_contingente_general;3;servicio_social;diurna;educacion_secundaria;137.0;rumana;educacion_secundaria_12o_ano_o_equivalente;educacion_secundaria_12o_ano_o_equivalente;trabajadoras_no_cualificadas;trabajadores_no_cualificados;129.3;no;no;no;si;mujer;si;21;si;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;graduado
soltero/a;1a_fase_contingente_general;1;servicio_social;diurna;educacion_secundaria;138.0;portuguesa;educacion_secundaria_12o_ano_o_equivalente;educacion_basica_3er_ciclo_o_equivalente;personal_administrativo;trabajadores_cualificados_de_industria_construccion_y_artesania;123.0;si;no;si;no;mujer;no;18;no;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;abandono
